text,options,answer,difficulty,type
"What is the purpose of a 'jsonb_array_length' function in PostgreSQL?","To get the length of a JSONB array,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSONB array",0.8,mcq
"What is the purpose of a 'jsonb_typeof' function in PostgreSQL?","To get the type of the outermost JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the outermost JSONB object",0.8,mcq
"What is the purpose of a 'json_typeof' function in PostgreSQL?","To get the type of the outermost JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the outermost JSON object",0.8,mcq
"What is the purpose of a 'json_array_length' function in PostgreSQL?","To get the length of a JSON array,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSON array",0.8,mcq
"What is the purpose of a 'jsonb_exists' function in PostgreSQL?","To check if a key exists in a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object",0.8,mcq
"What is the purpose of a 'jsonb_has_key' function in PostgreSQL?","To check if a key exists in a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object",0.8,mcq
"What is the purpose of a 'jsonb_has_keys' function in PostgreSQL?","To check if all of a set of keys exists in a JSONB object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSONB object",0.9,mcq
"What is the purpose of a 'json_exists' function in PostgreSQL?","To check if a key exists in a JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object",0.8,mcq
"What is the purpose of a 'json_has_key' function in PostgreSQL?","To check if a key exists in a JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object",0.8,mcq
"What is the purpose of a 'json_has_keys' function in PostgreSQL?","To check if all of a set of keys exists in a JSON object,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSON object",0.9,mcq
"What is the purpose of a 'jsonb_array_all_elements' function in PostgreSQL?","To check if a JSONB array contains only a specific element,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains only a specific element",0.9,mcq
"What is the purpose of a 'jsonb_array_any_elements' function in PostgreSQL?","To check if a JSONB array contains at least one of a set of elements,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains at least one of a set of elements",0.9,mcq
"What is the purpose of a 'json_array_all_elements' function in PostgreSQL?","To check if a JSON array contains only a specific element,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains only a specific element",0.9,mcq
"What is the purpose of a 'json_array_any_elements' function in PostgreSQL?","To check if a JSON array contains at least one of a set of elements,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains at least one of a set of elements",0.9,mcq
"What is the purpose of a 'jsonb_array_all_elements_text' function in PostgreSQL?","To check if a JSONB array contains only a specific element as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains only a specific element as text",0.9,mcq
"What is the purpose of a 'jsonb_array_any_elements_text' function in PostgreSQL?","To check if a JSONB array contains at least one of a set of elements as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains at least one of a set of elements as text",0.9,mcq
"What is the purpose of a 'json_array_all_elements_text' function in PostgreSQL?","To check if a JSON array contains only a specific element as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains only a specific element as text",0.9,mcq
"What is the purpose of a 'json_array_any_elements_text' function in PostgreSQL?","To check if a JSON array contains at least one of a set of elements as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains at least one of a set of elements as text",0.9,mcq
"What is the purpose of a 'jsonb_agg_path' function in PostgreSQL?","To aggregate a set of values as a JSONB array with a path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSONB array with a path",0.9,mcq
"What is the purpose of a 'json_agg_path' function in PostgreSQL?","To aggregate a set of values as a JSON array with a path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSON array with a path",0.9,mcq
"What is the purpose of a 'json_each_path' function in PostgreSQL?","To expand a JSON object to a set of key/value pairs with a path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSON object to a set of key/value pairs with a path",0.9,mcq
"What is the purpose of a 'jsonb_each_path' function in PostgreSQL?","To expand a JSONB object to a set of key/value pairs with a path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSONB object to a set of key/value pairs with a path",0.9,mcq
"What is the purpose of a 'jsonb_set_path' function in PostgreSQL?","To set a value in a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To set a value in a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_set_path' function in PostgreSQL?","To set a value in a JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To set a value in a JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_insert_path' function in PostgreSQL?","To insert a new value into a JSONB array or object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To insert a new value into a JSONB array or object at a specified path",0.9,mcq
"What is the purpose of a 'json_insert_path' function in PostgreSQL?","To insert a new value into a JSON array or object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To insert a new value into a JSON array or object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_delete_path' function in PostgreSQL?","To delete a key/value pair from a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To delete a key/value pair from a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_delete_path' function in PostgreSQL?","To delete a key/value pair from a JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To delete a key/value pair from a JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_pretty_path' function in PostgreSQL?","To format a JSONB object into a human-readable format at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To format a JSONB object into a human-readable format at a specified path",0.9,mcq
"What is the purpose of a 'json_pretty_path' function in PostgreSQL?","To format a JSON object into a human-readable format at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To format a JSON object into a human-readable format at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_array_length_path' function in PostgreSQL?","To get the length of a JSONB array at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSONB array at a specified path",0.9,mcq
"What is the purpose of a 'json_array_length_path' function in PostgreSQL?","To get the length of a JSON array at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSON array at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_typeof_path' function in PostgreSQL?","To get the type of the JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_typeof_path' function in PostgreSQL?","To get the type of the JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_exists_path' function in PostgreSQL?","To check if a key exists in a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_exists_path' function in PostgreSQL?","To check if a key exists in a JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_has_key_path' function in PostgreSQL?","To check if a key exists in a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_has_key_path' function in PostgreSQL?","To check if a key exists in a JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_has_keys_path' function in PostgreSQL?","To check if all of a set of keys exists in a JSONB object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSONB object at a specified path",0.9,mcq
"What is the purpose of a 'json_has_keys_path' function in PostgreSQL?","To check if all of a set of keys exists in a JSON object at a specified path,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSON object at a specified path",0.9,mcq
"What is the purpose of a 'jsonb_array_all_elements_path_text_text' function in PostgreSQL?","To check if a JSONB array contains only a specific element as text at a specified path as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains only a specific element as text at a specified path as text",0.9,mcq
"What is the purpose of a 'jsonb_array_any_elements_path_text_text' function in PostgreSQL?","To check if a JSONB array contains at least one of a set of elements as text at a specified path as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSONB array contains at least one of a set of elements as text at a specified path as text",0.9,mcq
"What is the purpose of a 'json_array_all_elements_path_text_text' function in PostgreSQL?","To check if a JSON array contains only a specific element as text at a specified path as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains only a specific element as text at a specified path as text",0.9,mcq
"What is the purpose of a 'json_array_any_elements_path_text_text' function in PostgreSQL?","To check if a JSON array contains at least one of a set of elements as text at a specified path as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a JSON array contains at least one of a set of elements as text at a specified path as text",0.9,mcq
"What is the purpose of a 'jsonb_agg_path_text_text' function in PostgreSQL?","To aggregate a set of values as a JSONB array with a path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSONB array with a path as text as text",0.9,mcq
"What is the purpose of a 'json_agg_path_text_text' function in PostgreSQL?","To aggregate a set of values as a JSON array with a path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To aggregate a set of values as a JSON array with a path as text as text",0.9,mcq
"What is the purpose of a 'json_each_path_text_text' function in PostgreSQL?","To expand a JSON object to a set of key/value pairs with a path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSON object to a set of key/value pairs with a path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_each_path_text_text' function in PostgreSQL?","To expand a JSONB object to a set of key/value pairs with a path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To expand a JSONB object to a set of key/value pairs with a path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_set_path_text_text' function in PostgreSQL?","To set a value in a JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To set a value in a JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_set_path_text_text' function in PostgreSQL?","To set a value in a JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To set a value in a JSON object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_insert_path_text_text' function in PostgreSQL?","To insert a new value into a JSONB array or object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To insert a new value into a JSONB array or object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_insert_path_text_text' function in PostgreSQL?","To insert a new value into a JSON array or object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To insert a new value into a JSON array or object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_delete_path_text_text' function in PostgreSQL?","To delete a key/value pair from a JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To delete a key/value pair from a JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_delete_path_text_text' function in PostgreSQL?","To delete a key/value pair from a JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To delete a key/value pair from a JSON object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_pretty_path_text_text' function in PostgreSQL?","To format a JSONB object into a human-readable format at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To format a JSONB object into a human-readable format at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_pretty_path_text_text' function in PostgreSQL?","To format a JSON object into a human-readable format at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To format a JSON object into a human-readable format at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_array_length_path_text_text' function in PostgreSQL?","To get the length of a JSONB array at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSONB array at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_array_length_path_text_text' function in PostgreSQL?","To get the length of a JSON array at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the length of a JSON array at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_typeof_path_text_text' function in PostgreSQL?","To get the type of the JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_typeof_path_text_text' function in PostgreSQL?","To get the type of the JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To get the type of the JSON object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_exists_path_text_text' function in PostgreSQL?","To check if a key exists in a JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_exists_path_text_text' function in PostgreSQL?","To check if a key exists in a JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_has_key_path_text_text' function in PostgreSQL?","To check if a key exists in a JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_has_key_path_text_text' function in PostgreSQL?","To check if a key exists in a JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if a key exists in a JSON object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'jsonb_has_keys_path_text_text' function in PostgreSQL?","To check if all of a set of keys exists in a JSONB object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSONB object at a specified path as text as text",0.9,mcq
"What is the purpose of a 'json_has_keys_path_text_text' function in PostgreSQL?","To check if all of a set of keys exists in a JSON object at a specified path as text as text,To combine data from two or more tables,To filter data from a single table,To sort data in a table","To check if all of a set of keys exists in a JSON object at a specified path as text as text",0.9,mcq
"How would you handle a situation where a team member is not meeting deadlines, and it's affecting the entire project timeline?",,"I would communicate with the team member to understand the root cause of the delay, offer support and resources, and if the problem persists, I would escalate the issue to the project manager.",0.8,scenario
"Describe the steps you would take to debug a web application that is crashing every time a user tries to submit a form.",,"I would start by checking the browser's developer console for any error messages, then I would inspect the network tab to ensure the form data is being sent correctly. After that, I would review the server-side logs to find the specific error causing the crash.",0.9,scenario
"A client reports a critical bug in production. How do you prioritize and address this issue?",,"I would first assess the impact and urgency of the bug. If it's a major issue, I'd immediately inform my team and a project manager. Then, I'd reproduce the bug in a local or staging environment. Once I've found the root cause, I'd work on a fix, test it thoroughly, and deploy it as quickly as possible, ensuring minimal disruption to the user.",0.85,scenario
"You are a project manager and your team is behind schedule. How do you motivate them and get the project back on track?",,"I would hold a meeting with the team to discuss the situation openly. I'd listen to their concerns, re-evaluate the project timeline, and break down the remaining work into smaller, more manageable tasks. I'd also offer incentives or recognition for meeting milestones and work alongside them to tackle difficult tasks, showing my commitment to the project.",0.9,scenario
"Describe a time you had to learn a new technology or skill quickly. What was your process?",,"I had to learn a new framework for a project with a tight deadline. I started by completing a few online tutorials to understand the basics. Then, I read the official documentation to get a deeper understanding of the core concepts. Finally, I applied my knowledge by building a small, isolated feature to gain hands-on experience before integrating it into the main project. My process was to learn, read, and apply.",0.85,scenario
"A team member is struggling with a complex task. What steps would you take to help them without simply doing the work for them?",,"I would first schedule a one-on-one to discuss the issue. I'd ask open-ended questions to help them talk through their thought process and identify where they're stuck. I would also suggest resources like documentation, code examples, or a quick pairing session to work through a small part of the problem together. My goal would be to empower them to solve the problem independently while providing the necessary guidance.",0.9,scenario
"You have two critical bugs to fix with different deadlines. One has a short-term impact but a close deadline, and the other has a long-term impact but a more flexible deadline. How would you prioritize?",,"I would prioritize the short-term bug with the close deadline first, as it has an immediate and visible impact on the users. I would then work on a temporary workaround for the long-term bug if possible. After resolving the first bug, I would dedicate my time to a more robust solution for the second bug, ensuring it's addressed before it causes significant problems.",0.9,scenario
"Explain a difficult technical concept to a non-technical person.",,"I would start by finding an analogy that relates to their everyday life. For example, to explain how a database works, I might compare it to a physical filing cabinet. I'd then use simple, jargon-free language to describe the components and their functions, like how a folder is a table and a piece of paper is a record. I would encourage questions and use visual aids if possible.",0.85,scenario
"How do you ensure the quality of your code before pushing it to a shared repository?",,"I would start by thoroughly testing my code on my local machine to ensure it works as expected. Then, I'd run automated tests like unit and integration tests. I would also perform a self-review of my code to ensure it follows coding standards and best practices. Finally, I'd use a version control system like Git to create a pull request, where my team members can review my code before it's merged into the main branch.",0.9,scenario
"A new team member is joining. How would you help them get up to speed on the project?",,"I would create a comprehensive onboarding document that outlines the project's architecture, key technologies, and best practices. I'd also set up a meeting with them to walk them through the document and introduce them to the team. I would assign them a mentor and an easy task to get started, ensuring they feel comfortable asking questions and contributing early on.",0.8,scenario
"How do you handle a disagreement with a team member about a technical decision?",,"I would start by listening to their perspective and asking clarifying questions to understand their reasoning. I would then explain my point of view, focusing on the technical pros and cons of each approach rather than personal opinions. If we can't reach a consensus, I would suggest bringing in a third party, like a senior engineer or a tech lead, to provide a fresh perspective and help us make a data-driven decision.",0.85,scenario
"How would you handle a situation where a critical feature is due soon, but you've discovered a major roadblock you didn't foresee?",,"I would first assess the impact of the roadblock on the timeline and the project. I would then communicate the issue to my project manager and team members as soon as possible, providing a clear explanation of the problem, potential solutions, and a revised timeline. I would then focus on implementing the most viable solution, prioritizing a working solution over a perfect one.",0.9,scenario
"Explain the concept of an API to a friend who is not a programmer.",,"I would compare an API to a waiter in a restaurant. When you want to order food, you don't go to the kitchen yourself. Instead, you tell the waiter what you want from the menu. The waiter takes your order to the kitchen, and then brings the food back to you. The API is like the waiter: it takes your request, processes it on a server, and returns the information you asked for.",0.85,scenario
"Describe your process for writing a new feature from start to finish.",,"I would start by understanding the requirements and defining the scope of the feature. I'd then break the feature down into smaller tasks and create a plan. After that, I would write the code, ensuring it's well-structured and follows coding standards. I'd then write and run tests to ensure the feature works as expected. Finally, I'd submit a pull request for a code review and deploy the feature to a staging environment for testing.",0.85,scenario
"How would you approach a situation where you have conflicting feedback from different stakeholders?",,"I would first listen to all the feedback and try to understand the motivations behind each person's opinion. I would then schedule a meeting with the stakeholders to discuss the conflicting feedback openly. I would present the pros and cons of each approach and facilitate a discussion to help the team reach a consensus. If a consensus can't be reached, I would escalate the issue to the project manager or a senior leader for a final decision.",0.85,scenario
"How do you stay up-to-date with new technologies and industry trends?",,"I make it a habit to read tech news, blogs, and articles from reputable sources. I also follow thought leaders on social media platforms. I attend virtual conferences and webinars to learn about new tools and techniques. I also set aside some time each week to work on side projects that allow me to experiment with new technologies.",0.8,scenario
"Describe a time when you made a mistake in a project. What did you learn from it?",,"I once accidentally pushed some un-tested code to a shared branch, which caused a build failure. I immediately reverted my changes and communicated the mistake to my team. From this experience, I learned the importance of thoroughly testing my code before pushing it to a shared repository and the value of clear communication when something goes wrong.",0.7,scenario
"How would you handle a situation where a project's scope is expanding, but the deadline remains the same?",,"I would immediately communicate the issue to my project manager and the stakeholders. I would present a clear case for why the new requirements cannot be met within the current timeline. I would then propose a new, more realistic timeline or suggest deprioritizing some of the new requirements. The goal is to set realistic expectations and ensure a high-quality product is delivered on time.",0.8,scenario
"Explain the difference between a for loop and a while loop in programming.",,"A for loop is used when you know exactly how many times you want the loop to run. For example, if you want to print a message 10 times, you would use a for loop. A while loop is used when you don't know how many times the loop will run, and it will continue to run as long as a certain condition is true.",0.7,scenario
"How would you handle a situation where a client asks for a feature that you believe is not feasible?",,"I would first listen to the client's request to understand their needs. Then, I would explain why the feature is not feasible from a technical standpoint, providing clear and concise reasons. I would then propose a more feasible alternative that still meets their needs. The goal is to work with the client to find a solution that works for everyone.",0.8,scenario
"How do you handle a situation where a team member is not contributing to the project?",,"I would start by having a private conversation with the team member to understand the root cause of the issue. I'd ask if they are facing any personal or professional challenges. I would then work with them to set clear goals and provide the necessary support and resources. If the problem persists, I would escalate the issue to a manager.",0.75,scenario
"How do you deal with a situation where a project you're working on is canceled?",,"I would first try to understand the reasons for the cancellation and what the next steps are. I would then review the project to document any valuable work that could be reused in the future. Finally, I would work with my manager to transition to a new project.",0.65,scenario
